0,204,1972,1100
1,164,1546,869
2,120,1106,632
3,26,175,123
4,26,175,129
5,29,172,131
6,31,173,136
7,34,178,138
8,34,183,144
9,35,187,150
10,35,191,161
11,36,193,164
12,37,192,171
13,38,195,173
14,38,196,174
15,37,197,174
16,37,198,179
17,37,204,183
18,38,206,186
19,40,211,189
20,43,207,188
21,45,205,189
22,44,202,189
23,45,207,192
24,49,214,190
25,51,224,191
26,54,230,192
27,56,234,201
28,58,239,211
29,57,243,217
30,59,246,221
31,61,244,223
32,61,241,225
33,61,237,225
34,60,243,234
35,60,249,237
36,61,256,246
37,64,260,249
38,69,264,252
39,74,266,246
40,78,273,249
41,80,272,252
42,78,269,260
43,75,265,265
44,75,269,272
45,77,271,272
46,81,284,272
47,82,294,275
48,82,305,280
49,81,308,286
50,84,313,293
51,86,310,301
52,88,302,301
53,87,298,300
54,87,298,297
55,91,296,297
56,97,298,304
57,103,300,315
58,107,300,319
59,108,300,321
60,107,303,321
61,105,306,324
62,105,304,325
63,107,304,335
64,112,305,341
65,118,312,345
66,125,317,346
67,127,324,343
68,128,324,342
69,127,319,341
70,131,311,346
71,132,308,348
72,139,305,350
73,136,306,352
74,134,312,363
75,127,318,372
76,125,324,379
77,126,330,384
78,132,335,384
79,139,334,384
80,145,331,379
81,150,328,377
82,148,327,374
83,147,325,377
84,149,328,380
85,155,334,387
86,160,340,381
87,166,345,376
88,166,341,367
89,167,335,365
90,169,329,366
91,172,336,376
92,173,346,385
93,175,350,390
94,171,343,390
95,176,336,384
96,179,329,384
97,186,329,380
98,190,335,380
99,190,335,381
100,190,333,381
101,191,334,378
102,195,335,383
103,202,335,386
104,209,336,389
105,210,337,385
106,204,332,386
107,203,325,378
108,196,323,382
109,202,321,385
110,208,324,392
111,216,328,396
112,211,332,401
113,214,329,400
114,210,325,391
115,216,321,385
116,220,318,379
117,225,320,382
118,224,314,385
119,226,309,388
120,228,299,386
121,232,298,382
122,238,296,382
123,241,305,377
124,240,307,370
125,243,310,362
126,250,309,356
127,257,309,356
128,262,302,356
129,262,298,359
130,264,299,356
131,265,299,356
132,270,297,350
133,271,296,352
134,270,293,348
135,268,294,347
136,274,294,345
137,276,295,343
138,282,287,338
139,281,277,332
140,288,270,328
141,290,266,327
142,303,268,328
143,302,271,326
144,301,274,325
145,291,271,324
146,290,271,322
147,289,263,322
148,301,264,316
149,308,264,306
150,315,268,300
151,309,263,298
152,305,263,297
153,301,254,295
154,307,255,288
155,313,248,281
156,321,250,274
157,314,243,273
158,304,236,269
159,300,227,269
160,302,222,266
161,307,222,265
162,312,223,260
163,318,229,259
164,318,226,256
165,322,222,251
166,326,213,241
167,327,212,233
168,327,211,230
169,331,214,227
170,336,214,230
171,338,214,227
172,347,207,225
173,350,206,222
174,348,206,226
175,343,211,225
176,339,210,224
177,328,208,216
178,326,201,205
179,327,193,194
180,332,190,188
181,338,190,188
182,343,188,186
183,340,187,185
184,338,186,182
185,341,183,179
186,347,177,177
187,352,178,174
188,351,176,167
189,342,177,162
190,335,173,160
191,334,167,160
192,335,157,159
193,340,153,157
194,345,153,155
195,352,155,151
196,357,154,149
197,359,152,143
198,355,148,142
199,346,143,140
200,344,141,141
201,349,140,139
202,358,138,137
203,357,137,133
204,348,133,127
205,335,130,122
206,325,127,116
207,329,127,112
208,339,123,111
209,345,124,113
210,348,119,113
211,351,119,115
212,347,113,117
213,345,112,116
214,336,110,113
215,329,111,106
216,321,109,101
217,327,105,96
218,326,100,97
219,329,97,94
220,324,99,93
221,321,100,88
222,317,98,85
223,319,93,80
224,319,88,80
225,311,84,74
226,300,85,73
227,290,86,68
228,288,86,66
229,291,82,64
230,293,77,65
231,291,73,65
232,284,71,64
233,284,72,63
234,284,73,60
235,285,75,56
236,283,76,53
237,274,78,49
238,269,76,49
239,263,71,50
240,260,67,50
241,254,64,49
242,254,61,49
243,252,59,50
244,250,55,52
245,250,52,53
246,245,50,50
247,246,50,46
248,241,51,41
249,238,53,37
250,230,55,34
251,230,55,33
252,225,53,32
253,1661,244,152
254,2344,332,207
255,3013,417,259
