0,10021
1,254
2,267
3,268
4,274
5,267
6,293
7,250
8,300
9,297
10,276
11,331
12,319
13,297
14,313
15,335
16,307
17,312
18,320
19,337
20,293
21,330
22,311
23,317
24,324
25,336
26,321
27,353
28,360
29,383
30,381
31,368
32,374
33,352
34,371
35,346
36,408
37,390
38,374
39,375
40,382
41,380
42,373
43,371
44,352
45,403
46,418
47,399
48,413
49,430
50,449
51,430
52,425
53,427
54,383
55,396
56,422
57,388
58,425
59,398
60,397
61,420
62,418
63,417
64,367
65,424
66,433
67,411
68,415
69,416
70,380
71,400
72,360
73,407
74,395
75,412
76,435
77,394
78,409
79,413
80,426
81,399
82,349
83,407
84,405
85,381
86,396
87,394
88,364
89,355
90,333
91,368
92,358
93,416
94,381
95,359
96,362
97,367
98,391
99,345
100,353
101,340
102,345
103,327
104,375
105,351
106,325
107,319
108,343
109,316
110,341
111,304
112,301
113,305
114,316
115,284
116,289
117,315
118,284
119,293
120,259
121,253
122,276
123,276
124,259
125,274
126,231
127,259
128,247
129,261
130,228
131,241
132,244
133,243
134,217
135,206
136,234
137,229
138,225
139,229
140,179
141,212
142,198
143,213
144,170
145,170
146,199
147,175
148,187
149,184
150,171
151,170
152,193
153,170
154,154
155,153
156,145
157,141
158,156
159,147
160,119
161,120
162,115
163,137
164,128
165,137
166,105
167,102
168,127
169,102
170,125
171,116
172,98
173,102
174,111
175,91
176,97
177,92
178,81
179,70
180,77
181,62
182,103
183,79
184,60
185,66
186,82
187,60
188,59
189,63
190,62
191,53
192,58
193,45
194,55
195,61
196,58
197,40
198,38
199,37
200,59
201,40
202,33
203,48
204,29
205,36
206,28
207,29
208,28
209,29
210,25
211,30
212,13
213,28
214,33
215,16
216,22
217,18
218,15
219,22
220,15
221,11
222,17
223,18
224,15
225,10
226,12
227,15
228,10
229,10
230,4
231,9
232,11
233,9
234,10
235,7
236,5
237,4
238,6
239,7
240,10
241,7
242,3
243,6
244,9
245,7
246,5
247,5
248,2
249,4
250,4
251,1
252,2
253,4
254,1
255,35
